bundesland,faelle,tod,lat,long,datum
Baden-Württemberg,454,1,48.5,9.0,2020-03-12
Bayern,500,1,48.9,11.4,2020-03-12
Berlin,137,0,52.5,13.4,2020-03-12
Brandenburg,30,0,52.0,13.87,2020-03-12
Bremen,38,0,53.1,8.8,2020-03-12
Hamburg,88,0,53.5,10.0,2020-03-12
Hessen,99,0,50.7,9.0,2020-03-12
Mecklenburg-Vorpommern,23,0,53.8,12.5,2020-03-12
Niedersachsen,129,0,52.57,10.0,2020-03-12
Nordrhein-Westfalen,688,3,51.6,7.5,2020-03-12
Rheinland-Pfalz,52,0,50.0,7.3,2020-03-12
Saarland,14,0,49.4,6.97,2020-03-12
Sachsen,45,0,51.05,13.5,2020-03-12
Sachsen-Anhalt,27,0,52.0,11.65,2020-03-12
Schleswig-Holstein,31,0,54.2,9.9,2020-03-12
Thüringen,14,0,50.85,11.13,2020-03-12
Gesamt,2369,5,51.06,10.0,2020-03-12
