bundesland,faelle,tod,lat,long,datum
Baden-Württemberg,1105,3,48.5,9.0,2020-03-16
Bayern,1067,5,48.9,11.4,2020-03-16
Berlin,300,0,52.5,13.4,2020-03-16
Brandenburg,94,0,52.0,13.87,2020-03-16
Bremen,56,0,53.1,8.8,2020-03-16
Hamburg,260,0,53.5,10.0,2020-03-16
Hessen,342,0,50.7,9.0,2020-03-16
Mecklenburg-Vorpommern,51,0,53.8,12.5,2020-03-16
Niedersachsen,391,0,52.57,10.0,2020-03-16
Nordrhein-Westfalen,1541,5,51.6,7.5,2020-03-16
Rheinland-Pfalz,325,0,50.0,7.3,2020-03-16
Saarland,85,0,49.4,6.97,2020-03-16
Sachsen,140,0,51.05,13.5,2020-03-16
Sachsen-Anhalt,77,0,52.0,11.65,2020-03-16
Schleswig-Holstein,123,0,54.2,9.9,2020-03-16
Thüringen,55,0,50.85,11.13,2020-03-16
Gesamt,6012,13,51.06,10.0,2020-03-16
