bundesland,faelle,tod,lat,long,datum
Baden-Württemberg,454,1,48.5,9.0,2020-03-13
Bayern,558,1,48.9,11.4,2020-03-13
Berlin,174,0,52.5,13.4,2020-03-13
Brandenburg,44,0,52.0,13.87,2020-03-13
Bremen,42,0,53.1,8.8,2020-03-13
Hamburg,99,0,53.5,10.0,2020-03-13
Hessen,148,0,50.7,9.0,2020-03-13
Mecklenburg-Vorpommern,33,0,53.8,12.5,2020-03-13
Niedersachsen,230,0,52.57,10.0,2020-03-13
Nordrhein-Westfalen,936,3,51.6,7.5,2020-03-13
Rheinland-Pfalz,102,0,50.0,7.3,2020-03-13
Saarland,40,0,49.4,6.97,2020-03-13
Sachsen,83,0,51.05,13.5,2020-03-13
Sachsen-Anhalt,42,0,52.0,11.65,2020-03-13
Schleswig-Holstein,48,0,54.2,9.9,2020-03-13
Thüringen,29,0,50.85,11.13,2020-03-13
Gesamt,3062,5,51.06,10.0,2020-03-13
