bundesland,faelle,tod,lat,long,datum
Baden-Württemberg,569,2,48.5,9.0,2020-03-14
Bayern,681,1,48.9,11.4,2020-03-14
Berlin,216,0,52.5,13.4,2020-03-14
Brandenburg,61,0,52.0,13.87,2020-03-14
Bremen,50,0,53.1,8.8,2020-03-14
Hamburg,158,0,53.5,10.0,2020-03-14
Hessen,203,0,50.7,9.0,2020-03-14
Mecklenburg-Vorpommern,45,0,53.8,12.5,2020-03-14
Niedersachsen,253,0,52.57,10.0,2020-03-14
Nordrhein-Westfalen,1154,5,51.6,7.5,2020-03-14
Rheinland-Pfalz,121,0,50.0,7.3,2020-03-14
Saarland,40,0,49.4,6.97,2020-03-14
Sachsen,93,0,51.05,13.5,2020-03-14
Sachsen-Anhalt,45,0,52.0,11.65,2020-03-14
Schleswig-Holstein,60,0,54.2,9.9,2020-03-14
Thüringen,46,0,50.85,11.13,2020-03-14
Gesamt,3795,8,51.06,10.0,2020-03-14
