bundesland,faelle,tod,lat,long,datum
Baden-Württemberg,827,3,48.5,9.0,2020-03-15
Bayern,886,4,48.9,11.4,2020-03-15
Berlin,265,0,52.5,13.4,2020-03-15
Brandenburg,84,0,52.0,13.87,2020-03-15
Bremen,53,0,53.1,8.8,2020-03-15
Hamburg,162,0,53.5,10.0,2020-03-15
Hessen,286,0,50.7,9.0,2020-03-15
Mecklenburg-Vorpommern,50,0,53.8,12.5,2020-03-15
Niedersachsen,287,0,52.57,10.0,2020-03-15
Nordrhein-Westfalen,1407,5,51.6,7.5,2020-03-15
Rheinland-Pfalz,168,0,50.0,7.3,2020-03-15
Saarland,32,0,49.4,6.97,2020-03-15
Sachsen,130,0,51.05,13.5,2020-03-15
Sachsen-Anhalt,47,0,52.0,11.65,2020-03-15
Schleswig-Holstein,103,0,54.2,9.9,2020-03-15
Thüringen,51,0,50.85,11.13,2020-03-15
Gesamt,4838,12,51.06,10.0,2020-03-15
