bundesland,faelle,tod,lat,long,datum
Baden-Württemberg,237,0,48.5,9.0,2020-03-10
Bayern,314,0,48.9,11.4,2020-03-10
Berlin,48,0,52.5,13.4,2020-03-10
Brandenburg,9,0,52.0,13.87,2020-03-10
Bremen,4,0,53.1,8.8,2020-03-10
Hamburg,29,0,53.5,10.0,2020-03-10
Hessen,35,0,50.7,9.0,2020-03-10
Mecklenburg-Vorpommern,13,0,53.8,12.5,2020-03-10
Niedersachsen,49,0,52.57,10.0,2020-03-10
Nordrhein-Westfalen,484,2,51.6,7.5,2020-03-10
Rheinland-Pfalz,25,0,50.0,7.3,2020-03-10
Saarland,7,0,49.4,6.97,2020-03-10
Sachsen,22,0,51.05,13.5,2020-03-10
Sachsen-Anhalt,7,0,52.0,11.65,2020-03-10
Schleswig-Holstein,9,0,54.2,9.9,2020-03-10
Thüringen,4,0,50.85,11.13,2020-03-10
Gesamt,1296,2,51.06,10.0,2020-03-10
